type,area,description,source,contact,address,features,status,confidence,business_type,service_category,rating,review_count,years_in_business,website,coordinates,username,platform,post_url,engagement,post_date,content_type,price_range,property_type,listing_date,contact_info,business_name,hours,project_type,project_value,completion_date,customer_satisfaction,project_size,services_used
real_estate,Salt Lake City,Property in Salt Lake City with pond repair,Real Estate Listing,Real Estate Agent,"Sample Address, Salt Lake City, UT",fountain,existing,medium,,,,,,,,,,,,,,"$300,000 - $500,000",vacant land,2024,(435) 927-6704,,,,,,,,
real_estate,Salt Lake City,Property in Salt Lake City with pond repair,Real Estate Listing,Real Estate Agent,"Sample Address, Salt Lake City, UT",pond,existing,medium,,,,,,,,,,,,,,"$500,000 - $750,000",residential,2024,(385) 488-1497,,,,,,,,
real_estate,Salt Lake City,Property in Salt Lake City with creek,Real Estate Listing,Real Estate Agent,"Sample Address, Salt Lake City, UT",koi pond,existing,medium,,,,,,,,,,,,,,"$1,000,000 - $1,500,000",commercial,2024,(385) 491-5798,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for pond design,Local Directory,(801) 369-3526,"Business Address, Salt Lake City, UT",aquascape design,service_provider,high,pond_service,design,5.0,,12,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for fountain installation,Local Directory,(801) 658-5441,"Business Address, Salt Lake City, UT",water feature installation,service_provider,high,pond_service,installation,5.9,,18,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for pond liners,Local Directory,(385) 197-9987,"Business Address, Salt Lake City, UT",pond liners,service_provider,high,pond_service,equipment,5.5,,6,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for pondless waterfall,Local Directory,(385) 495-6621,"Business Address, Salt Lake City, UT",pondless waterfall,service_provider,high,pond_service,specialty,5.0,,15,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for leak repair,Local Directory,(435) 797-8942,"Business Address, Salt Lake City, UT",filter repair,service_provider,high,pond_service,repair,4.7,,16,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about water garden in Salt Lake City,Facebook,@holladaygardens,"Posted from Salt Lake City, UT",water garden,potential_customer,low,,,,,,,,holladaygardens,Facebook,https://www.facebook.com/holladaygardens/posts/818956369,495,2024,story,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about pond liner in Salt Lake City,Facebook,@sandygardens,"Posted from Salt Lake City, UT",pond liner,potential_customer,low,,,,,,,,sandygardens,Facebook,https://www.facebook.com/sandygardens/posts/193981400,29,2024,photo,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about koi pond in Salt Lake City,Twitter,@holladaygardens,"Posted from Salt Lake City, UT",koi pond,potential_customer,low,,,,,,,,holladaygardens,Twitter,https://www.twitter.com/holladaygardens/status/6099907742605156266,107,2024,video,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about pond deicer in Salt Lake City,Facebook,@stgeorgewater,"Posted from Salt Lake City, UT",pond deicer,potential_customer,low,,,,,,,,stgeorgewater,Facebook,https://www.facebook.com/stgeorgewater/posts/723911488,453,2024,video,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about pondless waterfall in Salt Lake City,Twitter,@provoponds,"Posted from Salt Lake City, UT",pondless waterfall,potential_customer,low,,,,,,,,provoponds,Twitter,https://www.twitter.com/provoponds/status/1917527549171812486,349,2024,story,,,,,,,,,,,,
